,Player,Draft Pick,Salary,Pos,Age,Team,Games Played
0,Zhou Qi,43,815615,C,22,HOU,16
1,Zaza Pachulia,42,3477600,C,33,GSW,66
2,Zach Randolph,19,12307692,PF,36,SAC,59
3,Zach LaVine,13,3202217,SG,22,CHI,24
4,Zach Collins,10,3057240,C,20,POR,62
9,Wilson Chandler,23,12016854,SF,30,DEN,70
10,Willy Hernangomez,35,1435750,C,23,TOT,45
16,Willie Cauley-Stein,6,3704160,C,24,SAC,70
17,Will Barton,40,3533333,SG,27,DEN,77
19,Wesley Johnson,4,5881260,SF,30,LAC,70
20,Wesley Iwundu,33,1050000,SF,23,ORL,58
22,Wayne Ellington,28,6270000,SG,30,MIA,74
23,Wade Baldwin,17,1874400,PG,21,POR,4
25,Vince Carter,5,8000000,SF,41,SAC,55
26,Victor Oladipo,2,21000000,SG,25,IND,72
29,Tyus Jones,24,1471382,PG,21,MIN,78
30,Tyson Chandler,2,13000000,C,35,PHO,46
32,Tyreke Evans,4,3290000,PG,28,MEM,52
33,Tyler Zeller,17,1709538,C,28,MIL,20
36,Tyler Ulis,34,1312611,PG,22,PHO,68
37,Tyler Lydon,24,1579440,PF,21,DEN,1
39,Tyler Ennis,18,1524305,PG,23,LAL,50
40,Tyler Dorsey,41,815615,SG,21,ATL,53
46,Tristan Thompson,4,16400000,C,26,CLE,49
48,Trey Lyles,12,2441400,PF,22,DEN,70
49,Trey Burke,9,784160,PG,25,NYK,32
50,Trevor Booker,23,9125000,PF,30,TOT,64
54,Trevor Ariza,43,7420912,SF,32,HOU,64
58,Tony Snell,20,9821429,SG,26,MIL,71
59,Tony Parker,28,15453126,PG,35,SAS,52
60,Tony Bradley,28,1414920,C,20,UTA,9
61,Tony Allen,25,2116955,SF,36,NOP,22
62,Tomas Satoransky,32,3000000,SG,26,WAS,69
63,Tobias Harris,19,16000000,PF,25,TOT,76
66,Timothe Luwawu-Cabarrot,24,1386600,SF,22,PHI,52
69,Tim Hardaway,24,16500000,SG,25,NYK,56
71,Thon Maker,10,2684160,C,20,MIL,71
72,Thomas Bryant,42,815615,C,20,LAL,11
73,Thaddeus Young,12,14796348,PF,29,IND,78
74,Thabo Sefolosha,13,5250000,SF,33,UTA,38
75,Terry Rozier,16,1988520,PG,23,BOS,77
76,Terrence Ross,8,10500000,SG,26,ORL,22
77,Terrance Ferguson,21,1785000,SG,19,OKC,59
78,Taurean Waller-Prince,12,2422560,SF,23,ATL,79
80,Taj Gibson,26,14000000,PF,32,MIN,78
81,T.J. Warren,14,3152931,SF,24,PHO,65
83,T.J. Leaf,18,2028360,PF,20,IND,50
84,Steven Adams,12,22471910,C,24,OKC,73
85,Sterling Brown,46,815615,SG,22,MIL,51
86,Stephen Curry,7,34682550,PG,29,GSW,51
87,Stanley Johnson,8,3097800,SF,21,DET,65
88,Spencer Dinwiddie,38,1524305,PG,24,BRK,77
89,Solomon Hill,23,12236535,SF,26,NOP,8
90,Skal Labissiere,28,1312611,PF,21,SAC,60
91,Sindarius Thornwell,48,815615,SG,23,LAC,69
92,Shelvin Mack,34,6000000,PG,27,ORL,65
93,Shaun Livingston,4,7692308,PG,32,GSW,68
95,Shane Larkin,18,1524305,PG,25,BOS,50
96,Shabazz Napier,24,2361360,PG,26,POR,70
97,Shabazz Muhammad,14,1577230,SG,25,MIL,9
100,Serge Ibaka,24,20061729,PF,28,TOR,73
101,Semi Ojeleye,37,1291892,PF,23,BOS,69
108,Sam Dekker,18,1794600,PF,23,LAC,69
111,Ryan Anderson,21,19578455,PF,29,HOU,66
112,Russell Westbrook,4,28530608,PG,29,OKC,77
113,Rudy Gobert,27,21974719,C,25,UTA,52
114,Rudy Gay,8,8406000,PF,31,SAS,54
116,Rondae Hollis-Jefferson,23,1471382,SF,23,BRK,64
120,Rodney Hood,23,2386864,SG,25,UTA,39
123,Robin Lopez,15,13788500,C,29,CHI,64
125,Ricky Rubio,5,14275000,PG,27,UTA,73
126,Richaun Holmes,37,1471382,C,24,PHI,44
127,Richard Jefferson,13,2500000,SF,37,DEN,20
128,Reggie Jackson,24,16000000,PG,27,DET,41
130,Reggie Bullock,25,2500000,SF,26,DET,62
131,Raymond Felton,5,2328652,PG,33,OKC,79
132,Raul Neto,47,1471382,PG,25,UTA,39
133,Rashad Vaughn,17,1889040,SG,21,BRK,1
137,Ramon Sessions,56,2328652,PG,31,WAS,14
140,Rajon Rondo,21,3300000,PG,31,NOP,61
143,Quincy Pondexter,26,3853931,SF,29,CHI,23
144,Quincy Acy,37,1709538,PF,27,BRK,66
146,Paul Zipser,48,1312611,SF,23,CHI,54
147,Paul Millsap,47,31269231,PF,32,DEN,34
