Title,Year,Age,IMDb,Rotten Tomatoes
Breaking Bad,2008,18+,9.5,96
Stranger Things,2016,16+,8.8,93
Money Heist,2017,18+,8.4,91
Sherlock,2010,16+,9.1,78
Better Call Saul,2015,18+,8.7,97
The Office,2005,16+,8.9,81
Black Mirror,2011,18+,8.8,83
Supernatural,2005,16+,8.4,93
Peaky Blinders,2013,18+,8.8,92
Avatar: The Last Airbender,2005,7+,9.2,100
The Walking Dead,2010,18+,8.2,81
Dark,2017,16+,8.7,94
Ozark,2017,18+,8.4,81
Attack on Titan,2013,16+,8.8,94
Narcos,2015,18+,8.8,89
Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100
Community,2009,7+,8.5,88
Mindhunter,2017,18+,8.6,96
Parks and Recreation,2009,16+,8.6,93
Dexter,2006,18+,8.6,72
Marvel's Daredevil,2015,18+,8.6,92
The Witcher,2019,18+,8.3,67
Twin Peaks,1990,18+,8.8,89
One-Punch Man,2015,16+,8.8,100
Outlander,2014,18+,8.4,91
House of Cards,2013,18+,8.7,78
Shameless,2011,18+,8.6,85
The Good Place,2016,16+,8.2,97
The Haunting,2018,18+,8.7,93
The Blacklist,2013,16+,8.0,91
The Flash,2014,7+,7.7,89
The Last Kingdom,2015,18+,8.4,91
Mad Men,2007,16+,8.6,94
Lucifer,2016,16+,8.2,87
Orange Is the New Black,2013,18+,8.1,90
Grey's Anatomy,2005,16+,7.6,83
The End of the F***ing World,2017,18+,8.1,93
Arrested Development,2003,16+,8.7,75
The Vampire Diaries,2009,7+,7.7,85
The Crown,2016,18+,8.7,89
The 100,2014,16+,7.7,92
When They See Us,2019,18+,8.9,96
How to Get Away with Murder,2014,16+,8.1,88
After Life,2019,18+,8.5,70
Elite,2018,18+,7.6,97
BoJack Horseman,2014,18+,8.7,93
Never Have I Ever,2020,16+,8.0,97
Penny Dreadful,2014,18+,8.2,91
Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5,94
Dead to Me,2019,18+,8.1,91
Unorthodox,2020,18+,8.1,94
Sense8,2015,18+,8.3,86
Sacred Games,2018,18+,8.7,92
American Crime Story,2016,18+,8.4,93
Family Guy,1999,18+,8.1,71
Pretty Little Liars,2010,16+,7.4,81
Unbelievable,2019,18+,8.4,97
Arrow,2012,16+,7.6,85
The IT Crowd,2006,16+,8.5,87
The Twilight Zone,1959,7+,9.0,82
YOU,2018,18+,7.8,91
Sex Education,2019,16+,8.3,94
"Tiger King: Murder, Mayhem and Madness",2020,18+,7.8,86
Star Trek: The Next Generation,1987,7+,8.6,89
Broadchurch,2013,18+,8.4,92
Kingdom,2019,18+,8.4,96
Altered Carbon,2018,18+,8.1,64
The Sinner,2017,16+,8.0,95
"Love, Death & Robots",2019,18+,8.5,78
Marvel's Jessica Jones,2015,18+,8.0,83
New Girl,2011,16+,7.7,94
The Good Wife,2009,16+,8.3,94
The Umbrella Academy,2019,16+,7.9,77
Marvel's The Punisher,2017,18+,8.5,63
Ash vs Evil Dead,2015,18+,8.4,99
Master of None,2015,18+,8.3,100
Bodyguard,2018,18+,8.1,93
Schitt's Creek,2015,16+,8.4,50
Narcos: Mexico,2018,18+,8.4,88
The West Wing,1999,16+,8.8,75
Bates Motel,2013,18+,8.2,93
Atypical,2017,18+,8.3,87
Once Upon a Time,2011,7+,7.7,80
Gomorrah,2014,18+,8.7,94
Making a Murderer,2015,16+,8.6,84
Castlevania,2017,18+,8.2,93
Riverdale,2017,16+,7.0,86
Burn Notice,2007,7+,7.9,88
Fauda,2015,16+,8.3,100
Russian Doll,2019,18+,7.9,96
Our Planet,2019,7+,9.3,93
Big Mouth,2017,18+,8.0,100
Gotham,2014,16+,7.8,77
I Am Not Okay with This,2020,18+,7.6,85
The Vietnam War,2017,18+,9.1,98
Waco,2018,18+,7.9,68
Star Trek,1966,7+,8.3,80
The OA,2016,16+,7.9,84
Outer Banks,2020,18+,7.6,72
The Midnight Gospel,2020,18+,8.4,90
Good Girls,2018,16+,7.9,87
Chilling Adventures of Sabrina,2018,16+,7.6,84
Doctor Foster,2015,16+,7.7,85
Gilmore Girls,2000,16+,8.1,85
iZombie,2015,16+,7.9,91
Anne with an E,2017,7+,8.6,62
A Series of Unfortunate Events,2017,7+,7.8,96
Neon Genesis Evangelion,1995,16+,8.5,100
Into the Badlands,2015,16+,8.0,83
Monty Python's Flying Circus,1969,16+,8.8,100
Jane the Virgin,2014,7+,7.8,100
Halt and Catch Fire,2014,16+,8.4,90
Grace and Frankie,2015,7+,8.3,89
NCIS,2003,16+,7.8,40
Weeds,2005,18+,7.9,70
GLOW,2017,18+,8.0,93
13 Reasons Why,2017,18+,7.8,39
Godless,2017,16+,8.3,85
Locked Up,2015,16+,8.3,100
Mushi-Shi,2005,16+,8.5,100
Gossip Girl,2008,16+,7.4,84
Unbreakable Kimmy Schmidt,2015,16+,7.6,96
Lost in Space,2018,7+,7.3,75
Scandal,2012,16+,7.7,93
One Day at a Time,2017,7+,8.2,99
DC's Legends of Tomorrow,2016,16+,6.8,87
Manhunt,2017,16+,8.1,93
Charmed,1998,16+,7.1,75
The Dragon Prince,2018,7+,8.4,100
Locke & Key,2020,16+,7.4,67
Alias Grace,2017,18+,7.8,99
American Vandal,2017,16+,8.2,97
Santa Clarita Diet,2017,18+,7.8,89
