Title,Netflix,Hulu,Prime Video,Disney+
Breaking Bad,1,0,0,0
Stranger Things,1,0,0,0
Money Heist,1,0,0,0
Sherlock,1,0,0,0
Better Call Saul,1,0,0,0
The Office,1,0,0,0
Black Mirror,1,0,0,0
Supernatural,1,0,0,0
Peaky Blinders,1,0,0,0
Avatar: The Last Airbender,1,0,0,0
The Walking Dead,1,0,0,0
Dark,1,0,0,0
Ozark,1,0,0,0
Attack on Titan,1,1,0,0
Narcos,1,0,0,0
Fullmetal Alchemist: Brotherhood,1,1,0,0
Community,1,1,0,0
Mindhunter,1,0,0,0
Parks and Recreation,1,1,1,0
Dexter,1,0,0,0
Marvel's Daredevil,1,0,0,0
The Witcher,1,0,0,0
Twin Peaks,1,1,0,0
One-Punch Man,1,1,0,0
Outlander,1,0,0,0
House of Cards,1,0,0,0
Shameless,1,0,0,0
The Good Place,1,1,0,0
The Haunting,1,0,0,0
The Blacklist,1,0,0,0
The Flash,1,0,0,0
The Last Kingdom,1,0,0,0
Mad Men,1,0,0,0
Lucifer,1,0,0,0
Orange Is the New Black,1,0,0,0
Grey's Anatomy,1,1,0,0
The End of the F***ing World,1,0,0,0
Arrested Development,1,1,0,0
The Vampire Diaries,1,0,0,0
The Crown,1,0,0,0
The 100,1,0,0,0
When They See Us,1,0,0,0
How to Get Away with Murder,1,1,0,0
After Life,1,0,0,0
Elite,1,0,0,0
BoJack Horseman,1,0,0,0
Never Have I Ever,1,0,0,0
Penny Dreadful,1,0,0,0
Marvel's Agents of S.H.I.E.L.D.,1,0,0,0
Dead to Me,1,0,0,0
Unorthodox,1,0,0,0
Sense8,1,0,0,0
Sacred Games,1,0,0,0
American Crime Story,1,0,0,0
Family Guy,1,1,0,0
Pretty Little Liars,1,1,0,0
Unbelievable,1,0,0,0
Arrow,1,0,0,0
The IT Crowd,1,0,0,0
The Twilight Zone,1,1,0,0
YOU,1,0,0,0
Sex Education,1,0,0,0
"Tiger King: Murder, Mayhem and Madness",1,0,0,0
Star Trek: The Next Generation,1,1,1,0
Broadchurch,1,0,0,0
Kingdom,1,0,0,0
Altered Carbon,1,0,0,0
The Sinner,1,0,0,0
"Love, Death & Robots",1,0,0,0
Marvel's Jessica Jones,1,0,0,0
New Girl,1,0,0,0
The Good Wife,1,1,1,0
The Umbrella Academy,1,0,0,0
Marvel's The Punisher,1,0,0,0
Ash vs Evil Dead,1,0,0,0
Master of None,1,0,0,0
Bodyguard,1,0,0,0
Schitt's Creek,1,0,1,0
Narcos: Mexico,1,0,0,0
The West Wing,1,0,0,0
Bates Motel,1,0,0,0
Atypical,1,0,0,0
Once Upon a Time,1,0,0,0
Gomorrah,1,0,0,0
Making a Murderer,1,0,0,0
Castlevania,1,0,0,0
Riverdale,1,0,0,0
Burn Notice,1,1,1,0
Fauda,1,0,0,0
Russian Doll,1,0,0,0
Our Planet,1,0,0,0
Big Mouth,1,0,0,0
Gotham,1,0,0,0
I Am Not Okay with This,1,0,0,0
The Vietnam War,1,0,0,0
Waco,1,0,0,0
Star Trek,1,1,1,0
The OA,1,0,0,0
Outer Banks,1,0,0,0
The Midnight Gospel,1,0,0,0
Good Girls,1,1,0,0
Chilling Adventures of Sabrina,1,0,0,0
Doctor Foster,1,0,0,0
Gilmore Girls,1,0,0,0
iZombie,1,0,0,0
Anne with an E,1,0,0,0
A Series of Unfortunate Events,1,0,0,0
Neon Genesis Evangelion,1,0,0,0
Into the Badlands,1,0,0,0
Monty Python's Flying Circus,1,0,0,0
Jane the Virgin,1,0,0,0
Halt and Catch Fire,1,0,0,0
Grace and Frankie,1,0,0,0
NCIS,1,0,0,0
Weeds,1,0,0,0
GLOW,1,0,0,0
13 Reasons Why,1,0,0,0
Godless,1,0,0,0
Locked Up,1,0,0,0
Mushi-Shi,1,1,1,0
Gossip Girl,1,0,0,0
Unbreakable Kimmy Schmidt,1,0,0,0
Lost in Space,1,0,0,0
Scandal,1,0,0,0
One Day at a Time,1,0,0,0
DC's Legends of Tomorrow,1,0,0,0
Manhunt,1,0,0,0
Charmed,1,0,0,0
The Dragon Prince,1,0,0,0
Locke & Key,1,0,0,0
Alias Grace,1,0,0,0
American Vandal,1,0,0,0
Santa Clarita Diet,1,0,0,0
Maniac,1,0,0,0
Star Trek: Deep Space Nine,1,1,1,0
The Dark Crystal: Age of Resistance,1,0,0,0
Colony,1,0,0,0
Wild Wild Country,1,0,0,0
Rectify,1,0,0,0
Pose,1,0,0,0
Marvel's Luke Cage,1,0,0,0
Hollywood,1,0,0,0
Derry Girls,1,0,0,0
Dark Matter,1,0,0,0
On My Block,1,0,0,0
Longmire,1,0,0,0
The Tudors,1,0,0,0
HAPPY!,1,0,0,0
The Stranger,1,0,0,0
Call the Midwife,1,0,0,0
Into the Night,1,0,0,0
Mystery Science Theater 3000,1,1,0,0
The Inbetweeners,1,0,0,0
Reign,1,0,0,0
Extras,1,0,1,0
The Kominsky Method,1,0,0,0
The 4400,1,0,0,0
The Borgias,1,0,0,0
Marco Polo,1,0,0,0
Queer Eye,1,0,0,0
The Spy,1,0,0,0
Love,1,0,0,0
Designated Survivor,1,0,0,0
Ripper Street,1,0,0,0
Hell on Wheels,1,0,0,0
The Fosters,1,0,0,0
Hawaii Five-0,1,0,0,0
Marvel's The Defenders,1,0,0,0
Supergirl,1,0,0,0
Star Trek: Voyager,1,1,1,0
Limitless,1,0,0,0
Messiah,1,0,0,0
The Shannara Chronicles,1,0,0,0
Top Boy,1,0,0,0
Jonathan Strange & Mr Norrell,1,0,0,0
Haven,1,0,0,0
Queen of the South,1,0,0,0
Hart of Dixie,1,0,0,0
Bloodline,1,0,0,0
Middleditch & Schwartz,1,0,0,0
Dirty Money,1,0,0,0
Don't F**k with Cats: Hunting an Internet Killer,1,0,0,0
Chef's Table,1,0,0,0
TURN: Washington's Spies,1,0,0,0
Crazy Ex-Girlfriend,1,0,0,0
Soul Eater,1,1,0,0
Lost Girl,1,0,0,0
Wynonna Earp,1,0,0,0
Galavant,1,0,0,0
Hilda,1,0,0,0
The Originals,1,0,0,0
Episodes,1,0,0,0
Absolutely Fabulous,1,1,0,0
Living with Yourself,1,0,0,0
F is for Family,1,0,0,0
The Keepers,1,0,0,0
Cheer,1,0,0,0
Disenchantment,1,0,0,0
Dead Set,1,0,0,0
Nurse Jackie,1,0,0,0
Imposters,1,0,0,0
Queer as Folk,1,0,1,0
Heartland,1,0,1,0
The Staircase,1,0,0,0
Madam Secretary,1,0,0,0
Chewing Gum,1,0,0,0
Glee,1,0,0,0
The Order,1,0,0,0
Helix,1,0,0,0
Safe,1,0,0,0
Evil Genius,1,0,0,0
Marvel's Iron Fist,1,0,0,0
Lilyhammer,1,0,0,0
